Чкаловский поворот;пов на Чкаловский;Щелково [];
М. Лёдово;Малое Ледово;Щелково [];
"""Торговый центр""";Торговый центр;Щелково [014362];
пов. на Коптязино;п-т Коптязино;Шаховская [3005224];
п-т Кн. Горы ТО;п-т Княжьи Горы (Тве;Шаховская [3005224];
П/часть;Пожарная часть;Шаховская [3005224];
Кн. Горы МО;Княжьи Горы (Моск. О;Шаховская [3005224];
маг Мебельный;Маг.Мебельный;Шатура [2977206];
Стекольный з-д;Стекольный завод;Шатура [2977206];
Ст.м. Выхино;м. Выхино;Шатура [2977206];
Ст.м.Выхино;м. Выхино;Шатура [2977206];
з-д Крахмальный;Крахмальный з-д;Шатура [2977206];
Войкова ул;ул. Войкова;Шатура [2977206];
Автостанция (г.Шатур;Автостанция (Шатура);Шатура [2977206];
Ст.Чехов;ст. Чехов;Чехов [2976335];
Ст.Столбовая;ст. Столбовая;Чехов [2976335];
Сквер им.Чехова;Сквер им. Чехова;Чехов [2976335];
пов. на Алачково;Пов.на Алачково;Чехов [2976335];
Ул.Пушкина;ул. Пушкина;Чехов [2976335];
Ст.Химки;ст. Химки;Химки [2905683];
Ул.Панфилова;ул. Панфилова;Химки [2905683];
по требованию;По требованию;Химки [2905683];
ОБИ;ТЦ ОБИ;Химки [2905683]
по требованию;По требованию;Талдом [2873658];
Вокзал Б. Волга;Вокзал Большая Волга;Талдом [2873658];
Ноые Дома;Новые дома;Ступино [2842861];
Жив.Комплекс;Жив.комплекс;Ступино [2842861];
Сан. Артема;Сан. Имени Артема;Солнечногорск [2797949];
Поворот на Хметьево;Пов.на Хметьево;Солнечногорск [2797949];
Поворот на ЦМИС;Пов.на ЦМИС;Солнечногорск [2797949];
Ул. 2 Володарская;2-я Володарская ул.;Солнечногорск [2797949];
Удачное (по треб.);Удачное (по требованию);Солнечногорск [2797949];
"Ст. ""Крюково""";Ст. Крюково;Солнечногорск [2797949];
Ст.Крюково;Ст. Крюково;Солнечногорск [2797949];
Пов.Волоколамское шоссе;Пов. на Волоколамское шоссе;Солнечногорск [2797949];
Пов. на Волоколамское ш.;Пов. на Волоколамское шоссе;Солнечногорск [2797949];
Ул. 1 мая;Ул. Первомайская;Солнечногорск [2797949];
Первомайская ул.;Ул. Первомайская;Солнечногорск [2797949];
Октябрьская ул.;Ул. Октябрьская;Солнечногорск [2797949];
Октябрьская;Ул. Октябрьская;Солнечногорск [2797949];
ул. К. Либкнехта;ул. Либкнехта;Солнечногорск [2797949];
Ул.Горького;ул. Горького;Солнечногорск [2797949];
Пов.на Озеро Лесное;пов на оз Лесное;Солнечногорск [2797949];
Пов.на Стрелино;пов на Стрелино;Солнечногорск [2797949];
По требованию;по требованию;Солнечногорск [2797949];
мкрн Рекинцо;Микрорайон Рекинцо;Солнечногорск [2797949];
М/р Рекинцо;Микрорайон Рекинцо;Солнечногорск [2797949];
М-н Виктор;М-н. Виктор;Солнечногорск [2797949];
Ленинградское ш;Ленинградское шоссе;Солнечногорск [2797949];
Кресты по требованию;Кресты (по требованию);Солнечногорск [2797949];
Кресты (по требовани;Кресты (по требованию);Солнечногорск [2797949];
Кооп. Дома;Кооп. дома;Солнечногорск [2797949];
ИКЕА;Икея;Солнечногорск [2797949];
Дом журналистов;Дом журналиста;Солнечногорск [2797949];
Д/к ЦМИС;ДК ЦМИС;Солнечногорск [2797949];
А\ст Солнечногорск;Автостанция Солнечногорск;Солнечногорск [2797949];
49 километр;49 км;Солнечногорск [2797949];
43 км.;43 км;Солнечногорск [2797949];
14-й мкрн;14 мкрн;Солнечногорск [2797949];
14-й м/р;14 мкрн;Солнечногорск [2797949];
125 А-Б;125 автобаза;Солнечногорск [2797949];
12-й м/р;12 мкрн;Солнечногорск [2797949];
м-н Уют;"Магазин ""Уют""";Серпухов [2726028];
Чехова;ул. Чехова;Серпухов [2726028];
Чехова ул;ул. Чехова;Серпухов [2726028];
Крупской ул;ул. Крупской;Серпухов [2726028];
з-д металлоизделий;Завод металлоизделий;Серпухов [2726028];
Горького ул;ул. Горького;Серпухов [2726028];
по требованию;По требованию;Руза [2713371];
Ул.Чугунова;ул. Чугунова;Раменское [2653309];
Новые дома;Новые Дома;Раменское [2653309];
ст.Быково;ст. Быково;Раменское [2653309];
Поворот;поворот;Раменское [2653309];
з-д Фарфоровый;Фарфоровый з-д;Раменское [2653309];
Ул.Тракторная;ул. Тракторная;Раменское [2653309];
Ул.Первомайская;ул. Первомайская;Раменское [2653309];
Ул.Левашова;ул. Левашова;Раменское [2653309];
Ул.Красноармейская;ул. Красноармейская;Раменское [2653309];
Бул.Космонавтов;бульвар Космонавтов;Раменское [2653309];
Ул.Космонавтов;ул. Космонавтов;Раменское [2653309];
Ул.Коммунистическая;ул. Коммунистическая;Раменское [2653309];
Ул.Гоголя;ул. Гоголя;Раменское [2653309];
Ул.1-я Красная;ул. 1-я Красная;Раменское [2653309];
Ул. Дергаевская;ул. Дергаевская;Раменское [2653309];
Ст.Раменское;ст. Раменское;Раменское [2653309];
Ст.Бронницы;ст. Бронницы;Раменское [2653309];
Советская;Советская ул;Раменское [2653309];
по требованию;По требованию;Раменское [2653309];
Пл.Удельная;платф. Удельная;Раменское [2653309];
Керосиновая Лавка;Керосиновая лавка;Раменское [2653309];
школа №1;Школа №1;Озёры [2632801];
маг №3;Маг.№3;Озёры [2632801];
маг №11;Маг.№11;Озёры [2632801];
дом 20;Дом 20;Озёры [2632801];
дом 15;Дом 15;Озёры [2632801];
дисп.микрорайона;Дисп.Микрорайона;Озёры [2632801];
госбанк;Госбанк;Озёры [2632801];
Пл.Коммунистическая;пл Коммунистическая;Озёры [2632801];
Муз.Школа;муз. Школа;Озёры [2632801];
